Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
AR13000625486823424,"Salem Web Network, LLC",EIN ID 52-2141739,US,US-Federal,31,252600,222250,17910750,439500,1669600,5779000,1677000,71902500,964900,1068450,2341500,191950
AR130270137658900480,WALTERS FOR CONGRESS,FEC ID C00546853,US,US-Federal,37,3100,2700,217000,5325,20200,70000,20500,870000,11700,12975,28500,2300
AR131396037565743104,MIKE BISHOP FOR CONGRESS,FEC ID C00561001,US,US-Federal,22,38900,34250,2758750,67700,257200,890000,258500,11077500,148600,164550,360750,29550
AR131699502775009280,ANITA FOR ARIZONA,FEC ID C00655134,US,US-Federal,7,5800,5100,410250,10075,38300,132000,38500,1650000,22100,24450,54000,4400
AR13176547347267584,PENSLER FOR SENATE,FEC ID C00663278,US,US-Federal,82,52200,45950,3702500,90850,345100,1195000,346500,14865000,199500,220875,483750,39700
AR132631338879549440,Lietuvos Respublikos liberalų sąjūdis,,"BG, EU, LT",EU-Parliament,264,8800,7750,626000,15350,58400,202000,58500,2512500,33700,37350,81750,6700
AR133964496728227840,GALE PARTNERS LLC,EIN ID 38-3970400,US,US-Federal,146,0,50,2500,50,200,1000,0,7500,100,150,0,50
AR134039538396823552,Freie Demokratische Partei (FDP),,"DE, EU",EU-Parliament,199,25600,22550,1816250,44575,169300,586000,170000,7290000,97800,108375,237750,19450
AR134254767797960704,JOSH HARDER FOR CONGRESS,FEC ID C00639146,US,US-Federal,87,278300,244900,19732500,484200,1839400,6367000,1847500,79215000,1063000,1177125,2579250,211500
AR134358121890971648,TJ COX FOR CONGRESS,FEC ID C00648956,US,US-Federal,12,13500,11900,959000,23525,89400,309000,90000,3847500,51700,57225,125250,10300
AR134773737286270976,"JASON LEWIS FOR CONGRESS, INC.",FEC ID C00589234,US,US-Federal,11,58900,51800,4173250,102400,389000,1347000,391000,16755000,224800,248925,545250,44750
AR135010682042056704,"UAB ""BPN LT""",,"EU, GB, LT, PL",EU-Parliament,34,2700,2350,188500,4625,17600,61000,17500,757500,10200,11250,24750,2000
AR13594361765822464,GEORGE SCOTT FOR CONGRESS,FEC ID C00640961,US,US-Federal,31,8500,7500,604500,14825,56300,195000,56500,2422500,32600,36075,78750,6500
AR135943617658224640,BALDERSON FOR CONGRESS,FEC ID C00662650,US,US-Federal,7,700,600,49250,1200,4600,16000,4500,195000,2700,2925,6750,550
AR137025537099956224,VERN BUCHANAN FOR CONGRESS,FEC ID C00412759,US,US-Federal,44,14300,12600,1014000,24875,94500,327000,95000,4072500,54600,60525,132750,10850
AR137146483379011584,MULLIN FOR CONGRESS,FEC ID C00498345,US,US-Federal,9,16400,14450,1165000,28575,108600,376000,109000,4680000,62800,69525,152250,12500
AR138151437006798848,MEDIA MATTERS FOR AMERICA,EIN ID 47-0928008,US,US-Federal,17,1500,1300,106250,2600,9900,34000,10000,427500,5700,6300,13500,1150
AR139277336913641472,CATHY MCMORRIS RODGERS FOR CONGRESS,FEC ID C00390476,US,US-Federal,25,23800,20900,1685250,41350,157100,544000,158000,6765000,90800,100500,220500,18050
AR139371345157816320,Uusmaalaisten puolesta ry,,"EU, FI",EU-Parliament,5,1000,850,69500,1700,6500,22000,6500,277500,3700,4125,9000,750
AR140403236820484096,Need to Impeach,EIN ID 38-4081998,US,US-Federal,2096,3551200,3125100,251819000,6179175,23473800,81253000,23580500,1010895000,13565800,15021750,32919750,2698950
AR140414231936761856,ASSOCIATED BUILDERS AND CONTRACTORS INC.,FEC ID C90013798,US,US-Federal,27,486300,427950,34484250,846175,3214500,11127000,3229000,138435000,1857700,2057100,4508250,369600
AR140649527425105920,FRIENDS OF DAN FEEHAN,FEC ID C00649327,US,US-Federal,27,52600,46300,3732000,91575,347900,1204000,349500,14985000,201000,222600,487500,40000
AR141376029733158912,SARA PATTERSON,,US,US-Federal,11,0,0,1500,50,100,0,0,7500,100,75,0,0
AR141456019204079616,Birchwood & Saks Investment Finland Oy,,"EU, FI",EU-Parliament,1,0,0,0,0,0,0,0,0,0,0,0,0
AR142481313796980736,FREEDOM CLUB STATE PAC,EIN ID 41-1858156,US,US-Federal,1,5000,4400,353750,8675,33000,114000,33000,1417500,19100,21075,46500,3800
AR14302447254110208,DONNELLY FOR INDIANA,FEC ID C00393652,US,US-Federal,259,95500,84050,6772000,166175,631300,2185000,634000,27187500,364800,403950,885000,72600
AR143043713994588160,JIM JORDAN FOR CONGRESS,FEC ID C00416594,US,US-Federal,42,400,400,31000,750,2900,10000,3000,127500,1700,1875,3750,350
AR14309319201783808,Partij van de Arbeid,,"EU, NL",EU-Parliament,5,10200,9000,726500,17825,67700,234000,68000,2917500,39100,43350,95250,7800
AR143716065354973184,NADLER FOR CONGRESS,FEC ID C00290825,US,US-Federal,5,400,300,25500,625,2400,8000,2500,105000,1400,1500,3000,250
AR144198750959566848,CASTEN FOR CONGRESS,FEC ID C00648493,US,US-Federal,28,53100,46750,3768000,92450,351200,1216000,353000,15127500,203000,224775,492750,40400
AR144491221052555264,"FLORIDA STRONG ACTION PAC, INC.",EIN ID 81-3275690,US,US-Federal,17,7700,6800,546750,13425,51000,176000,51000,2197500,29500,32625,71250,5850
AR145115193901318144,Partido Animalista PACMA,,"ES, EU",EU-Parliament,20,16900,14850,1197250,29375,111600,386000,112000,4807500,64500,71400,156750,12850
AR14605912463376384,FLANDERS FOR US SENATE,FEC ID C00638791,US,US-Federal,37,9000,7950,639750,15700,59600,206000,60000,2565000,34500,38175,84000,6850
AR146184468959330304,AMERICAN COLLEGE OF RADIOLOGY ASSOCIATION PAC,FEC ID C00343459,US,US-Federal,6,40700,35800,2883000,70750,268700,930000,270000,11572500,155300,171975,377250,30900
AR146306514750013440,JOE WILSON FOR CONGRESS,FEC ID C00368522,US,US-Federal,7,9500,8350,672000,16500,62600,217000,63000,2700000,36200,40125,87750,7200
