Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
US,US-GA,GA-9,59100,52000,4191750,102850,390700,1353000,392500,16830000,225800,250050,548250,44950
US,US-HI,HI-1,71600,63050,5080000,124650,473500,1639000,475500,20392500,273700,303000,663750,54450
US,US-HI,HI-2,53000,46650,3759250,92250,350400,1213000,352000,15090000,202500,224250,491250,40300
US,US-IA,IA-1,219100,192850,15539250,381300,1448500,5014000,1455000,62377500,837100,927000,2031750,166550
US,US-IA,IA-2,123100,108350,8730500,214225,813800,2817000,817500,35047500,470300,520800,1141500,93550
US,US-IA,IA-3,295400,259950,20945750,513975,1952500,6758000,1961500,84082500,1128400,1249500,2738250,224500
US,US-IA,IA-4,135200,118950,9585750,235225,893600,3093000,897500,38482500,516400,571800,1253250,102750
US,US-ID,ID-1,65000,57150,4607000,113050,429500,1487000,431500,18495000,248200,274800,602250,49400
US,US-ID,ID-2,68200,60000,4834250,118625,450600,1560000,452500,19410000,260400,288375,632250,51800
US,US-IL,IL-1,59300,52200,4205000,103175,392000,1357000,394000,16882500,226500,250875,549750,45050
US,US-IL,IL-10,62500,55000,4433250,108775,413200,1430000,415000,17797500,238800,264450,579750,47500
US,US-IL,IL-11,85700,75450,6078250,149150,566600,1961000,569000,24397500,327400,362625,794250,65150
US,US-IL,IL-12,225200,198150,15966750,391800,1488400,5152000,1495000,64095000,860200,952500,2087250,171150
US,US-IL,IL-13,165500,145600,11733250,287900,1093700,3786000,1098500,47100000,632100,699900,1533750,125750
US,US-IL,IL-14,327800,288500,23246000,570400,2166900,7501000,2176500,93315000,1252300,1386675,3039000,249150
US,US-IL,IL-15,72300,63600,5125750,125775,477800,1654000,480000,20580000,276100,305775,669750,54950
US,US-IL,IL-16,73400,64600,5205750,127750,485300,1680000,487500,20895000,280400,310575,680250,55800
US,US-IL,IL-17,42700,37600,3029500,74350,282400,978000,283500,12165000,163200,180750,396000,32450
US,US-IL,IL-18,49600,43650,3515750,86275,327700,1134000,329000,14115000,189400,209700,459750,37700
US,US-IL,IL-2,85600,75300,6067500,148875,565600,1958000,568000,24360000,326900,361950,793500,65050
US,US-IL,IL-3,78600,69150,5572250,136725,519400,1798000,522000,22372500,300200,332400,728250,59700
US,US-IL,IL-4,68100,59950,4830750,118550,450300,1559000,452500,19395000,260200,288150,631500,51800
US,US-IL,IL-5,99000,87100,7018500,172225,654200,2265000,657000,28177500,378100,418650,917250,75200
US,US-IL,IL-6,389100,342400,27589750,677000,2571800,8902000,2583500,110752500,1486300,1645800,3606750,295700
US,US-IL,IL-7,227500,200200,16130000,395800,1503600,5205000,1510500,64755000,868900,962175,2109000,172900
US,US-IL,IL-8,158000,139000,11202250,274875,1044200,3615000,1049000,44970000,603500,668250,1464750,120050
US,US-IL,IL-9,104500,92000,7411500,181875,690900,2391000,694000,29752500,399300,442125,969000,79450
US,US-IN,IN-1,312100,274650,22129250,543000,2062800,7140000,2072000,88837500,1192100,1320075,2892750,237200
US,US-IN,IN-2,376900,331700,26727750,655850,2491500,8624000,2503000,107295000,1439900,1594425,3494250,286450
US,US-IN,IN-3,405100,356450,28724500,704850,2677600,9268000,2690000,115312500,1547400,1713525,3755250,307850
US,US-IN,IN-4,419400,369050,29737500,729700,2772000,9595000,2784500,119377500,1602000,1773900,3887250,318700
US,US-IN,IN-5,510300,449000,36182000,887850,3372800,11675000,3388000,145245000,1949200,2158350,4730250,387800
US,US-IN,IN-6,406700,357900,28838000,707625,2688200,9305000,2700500,115770000,1553500,1720275,3770250,309100
US,US-IN,IN-7,450300,396300,31934250,783600,2976800,10304000,2990500,128197500,1720300,1905000,4174500,342250
US,US-IN,IN-8,340300,299450,24130500,592125,2249400,7786000,2259500,96870000,1299900,1439475,3154500,258650
US,US-IN,IN-9,462500,407050,32799000,804825,3057400,10583000,3071500,131670000,1766900,1956525,4287750,351550
US,US-KS,KS-1,61400,54000,4351000,106775,405600,1404000,407500,17467500,234400,259575,568500,46650
US,US-KS,KS-2,432900,381000,30700250,753325,2861800,9906000,2875000,123240000,1653900,1831350,4013250,329050
US,US-KS,KS-3,510600,449350,36206750,888450,3375100,11683000,3390500,145350000,1950500,2159850,4733250,388050
US,US-KS,KS-4,59500,52400,4221000,103575,393500,1362000,395000,16942500,227400,251775,552000,45250
US,US-KY,KY-1,51500,45350,3653750,89650,340600,1179000,342000,14670000,196800,217950,477750,39150
US,US-KY,KY-2,72700,63950,5153250,126450,480400,1663000,482500,20685000,277600,307425,673500,55250
US,US-KY,KY-3,76700,67450,5436750,133400,506800,1754000,509000,21825000,292900,324300,711000,58250
US,US-KY,KY-4,66100,58150,4686000,114975,436800,1512000,439000,18810000,252400,279525,612750,50200
US,US-KY,KY-5,50000,44000,3546250,87025,330600,1144000,332000,14235000,191000,211575,463500,38000
US,US-KY,KY-6,431200,379450,30576250,750275,2850200,9866000,2863000,122745000,1647200,1824000,3997500,327700
US,US-LA,LA-1,84500,74400,5994000,147075,558700,1934000,561500,24060000,322900,357600,783750,64250
US,US-LA,LA-2,83800,73700,5940000,145750,553700,1917000,556000,23842500,320000,354300,776250,63650
US,US-LA,LA-3,56800,49950,4026250,98800,375300,1299000,377000,16162500,216900,240150,526500,43150
US,US-LA,LA-4,51200,45000,3627000,89000,338100,1170000,339500,14557500,195400,216375,474000,38850
US,US-LA,LA-5,41000,36050,2906750,71325,270900,938000,272000,11670000,156600,173400,380250,31150
US,US-LA,LA-6,50400,44300,3570500,87625,332800,1152000,334500,14332500,192300,213000,466500,38250
US,US-MA,MA-1,84600,74400,5995750,147125,558900,1935000,561500,24067500,323000,357675,783750,64250
US,US-MA,MA-2,93200,82050,6610000,162200,616200,2133000,619000,26535000,356100,394275,864000,70850
US,US-MA,MA-3,153000,134600,10847750,266175,1011200,3500000,1016000,43545000,584400,647100,1418250,116250
US,US-MA,MA-4,86900,76500,6163250,151225,574500,1989000,577000,24742500,332000,367650,805500,66050
US,US-MA,MA-5,114000,100350,8085500,198400,753700,2609000,757000,32460000,435600,482325,1056750,86650
US,US-MA,MA-6,101000,88850,7158500,175650,667300,2310000,670500,28740000,385600,427050,936000,76700
US,US-MA,MA-7,183700,161650,13027000,319650,1214300,4203000,1220000,52297500,701800,777075,1703250,139600
US,US-MA,MA-8,111700,98300,7920500,194350,738300,2556000,741500,31792500,426700,472500,1035750,84900
US,US-MA,MA-9,90900,79950,6444000,158125,600700,2079000,603500,25867500,347100,384375,842250,69050
US,US-MD,MD-1,61800,54350,4380250,107475,408300,1413000,410000,17587500,236000,261300,573000,46950
US,US-MD,MD-2,81200,71400,5755250,141225,536500,1857000,539000,23100000,310000,343275,752250,61700
US,US-MD,MD-3,68900,60650,4886000,119900,455400,1577000,457500,19612500,263200,291450,639000,52350
US,US-MD,MD-4,55800,49150,3960250,97175,369200,1278000,371000,15900000,213300,236250,517500,42450
US,US-MD,MD-5,73900,65000,5238500,128550,488300,1690000,490500,21030000,282200,312525,684750,56150
US,US-MD,MD-6,175400,154350,12438500,305225,1159500,4013000,1164500,49935000,670100,741975,1626000,133300
US,US-MD,MD-7,51000,44900,3617000,88750,337200,1167000,338500,14520000,194900,215775,472500,38750
US,US-MD,MD-8,133100,117150,9439500,231625,879900,3046000,884000,37897500,508500,563100,1233750,101150
US,US-ME,ME-1,231700,203950,16433000,403225,1531800,5302000,1539000,65970000,885300,980250,2148000,176150
US,US-ME,ME-2,348300,306500,24697750,606050,2302200,7969000,2312500,99150000,1330500,1473300,3228750,264700
